JuMBO 1, 83.716375, -5.374688, 0.001, 6.3, 0.001, 4.3, 357.7,
JuMBO 2, 83.718439, -5.391585, 0.002, 16.4, 0.002, 13.1, 114.,
JuMBO 3, 83.720854, -5.379591, 0.003, 19.7, 0.003, 10.8, 52.3,
JuMBO 4, 83.727380, -5.444921, 0.002, 23.7, 0.001, 10.6, 324.4,
JuMBO 5, 83.727997, -5.389459, 0.003, 10, 0.002, 32.8, 384.3,
JuMBO 6, 83.734156, -5.368803, 0.003, 46.6, 0.003, 56.5, 70.2,
JuMBO 7, 83.735012, -5.387694, 0.001, 17.4, 0.001, 17.3, 119,
JuMBO 8, 83.736001, -5.445662, 0.002, 21, 0.002, 15.9, 101.2,
JuMBO 9, 83.736884, -5.332175, 0.001, 13.1, 0.0007, 8.8, 211.5,
JuMBO 10, 83.748149, -5.445690, 0.001, 6.9, 0.001, 8.9, 342.5,
JuMBO 11, 83.753378, -5.431788, 0.0008, 10.4, 0.0007, 15.9, 192.2,
JuMBO 12, 83.753580, -5.354639, 0.003, 20.1, 0.001, 19.8, 366.2,
JuMBO 13, 83.760064, -5.393619, 0.001, 20.5, 0.001, 26.5, 192.6,
JuMBO 14, 83.767052, -5.406016, 0.009, 39.5, 0.008, 36, 55.6,
JuMBO 15, 83.768695, -5.440258, 0.003, 39.8, 0.002, 26.5, 329.8,
JuMBO 16, 83.769429, -5.415209, 0.001, 5.3, 0.001, 6.5, 273.9,
JuMBO 17, 83.775698, -5.432976, 0.001, 24.5, 0.0006, 10.7, 194.9,
JuMBO 18, 83.779749, -5.424113, 0.003, 11.7, 0.002, 6.6, 150.6,
JuMBO 19, 83.785686, -5.345893, 0.003, 22.6, 0.002, 31.5, 273.6,
JuMBO 20, 83.786364, -5.411568, 0.003, 19.1, 0.002, 11.3, 149.4,
JuMBO 21, 83.788762, -5.398635, 0.007, 74.2, 0.002, 26.1, 200.5,
JuMBO 22, 83.801462, -5.342754, 0.004, 51.6, 0.003, 29.4, 127.4,
JuMBO 23, 83.829058, -5.446920, 0.004, 35.2, 0.002, 11.3, 314.7,
JuMBO 24, 83.831262, -5.394369, 0.011, 3.6, 0.011, 3.5, 28,
JuMBO 25, 83.836455, -5.371124, 0.005, 14.2, 0.004, 16.4, 46.1,
JuMBO 26, 83.838007, -5.366544, 0.008, 12.5, 0.003, 9.1, 267.1,
JuMBO 27, 83.846621, -5.399533, 0.009, 2.4, 0.002, 2.8, 333.1,
JuMBO 28, 83.846940, -5.392726, 0.011, 8.7, 0.009, 20.1, 58.9,
JuMBO 29, 83.847252, -5.346677, 0.012, 11.9, 0.003, 14.4, 135,
JuMBO 30, 83.848540, -5.405963, 0.005, 33.1, 0.002, 2.2, 374.1,
JuMBO 31, 83.856732, -5.387897, 0.007, 12.8, 0.003, 15.2, 206.7,
JuMBO 32, 83.860453, -5.388966, 0.004, 14.4, 0.003, 11.9, 118,
JuMBO 33, 83.863086, -5.388234, 0.004, 17.8, 0.004, 23.1, 73.7,
JuMBO 34, 83.867221, -5.388611, 0.005, 15.4, 0.005, 13.9, 66.4,
JuMBO 35, 83.868427, -5.390019, 0.004, 10.1, 0.003, 10.3, 84.5,
JuMBO 36, 83.878803, -5.340274, 0.013, 32.3, 0.004, 36, 363,
JuMBO 37, 83.882254, -5.330745, 0.003, 18.3, 0.002, 32.2, 317.6,
JuMBO 38, 83.883267, -5.351932, 0.004, 27.8, 0.002, 24.4, 213.6,
JuMBO 39, 83.886789, -5.372932, 0.004, 41.9, 0.002, 32.9, 251,
JuMBO 40, 83.886856, -5.364031, 0.005, 18.1, 0.005, 23, 164.3,
JuMBO 41, 83.887251, -5.375283, 0.011, 31.7, 0.0008, 17.2, 287.2,
JuMBO 42, 83.897548, -5.333713, 0.003, 17.8, 0.0007, 15.2, 123.3,
