type,key,k1,k2,M,m,a,e,i,dx,dy,dz,x,y,z,vx,vy,vz
binary,3397927807881090297,3396401585336263187,10651367150790875942,100.37709464506469,1167.222760107352,442.1586191300755,0.6686438145659114,38.1704937256553,253.89308245654755,575.9244408467862,-295.4487975128849,0.218886131868007,-0.36579028102802214,2.181653412510495,1.1977869483842356,-1.5561100819670874,2.2340499142394785
binary,1997679323542835803,5975264068594658664,3683790934107785537,122.61524165604506,333.67404531822837,62.918679697411235,0.6430248494679708,68.50174133011278,-16.514688433440597,-35.007166019743785,38.34962935547415,1.4507912296664727,1.6801927795693186,-0.3737269781726192,0.7140179092326749,1.4238453434669989,-0.20930136257860996
binary,6984613569292356319,17473064750936854014,11148774554828599053,112.76339389880724,794.6373716743991,92.84195340220181,0.35722929770108397,57.66384883168603,-37.4610830165723,67.78461684539245,10.905905080573804,-0.5129718869123531,-0.7158668291847239,-1.0615867305788889,1.3363146405794866,0.3799970921700742,-0.10170663664483287
binary,3123667740610134596,8269848992627360746,6790403993914885606,110.51176681739966,1031.9736597573933,809.2691924698445,0.9882895309320415,82.07371522041578,-518.4329486535793,1271.8039732594284,358.7626112601405,-0.9215000257447596,-0.8329671239138986,-0.8706302509617491,0.2719617245493243,0.37450265517151154,-0.5984601914691207
binary,15725948506245019186,2752335231482960601,6077607548162489164,135.91120871411198,286.31810604309453,932.793829568854,0.5844799194453234,62.508467402143815,83.82626240161075,752.1518377018809,966.638611289243,0.2203003051869252,-0.5226962057116278,-1.2339693906827245,0.6962897136318581,-0.7045822774607889,0.7917584091026922
binary,4304417716429358520,18277001254482016587,16909693655122808247,115.97795797909305,1075.859051917565,234.5110271121806,0.652045473730717,61.07125097783719,221.7836183198766,-120.89643981284333,122.24647003420363,-0.1781936360538491,0.11206704760301224,1.839005337914275,0.5433173907583682,-0.9881850495249942,0.31320860785091914
binary,300386576955700762,11122694151826853076,17573647295804832319,203.9153677577892,32.82127105672489,75.4641315171405,0.9881039505533831,88.91709975289358,-4.577619635619577,36.16214412197151,-144.3805268102083,-0.4602204849912229,-0.7744363260304595,-0.2761483061434401,0.42361583384009527,0.14957126620920763,-0.48582479235801646
binary,12678084974382015050,3056304699142725486,12510491480985284336,151.33785416713997,258.68139994539405,383.1692196593246,0.9389418234328202,48.24987777752738,-297.1219406714597,306.7331404088668,344.38122720231627,-0.6225293463615758,0.4951908647750854,0.9107355244283611,-0.2759970581873672,1.9022966914723338,0.7293052371773491
binary,3820773965073986909,14373254766816870766,10850911131455335722,178.38067952780779,342.76268137451274,228.8879688077519,0.921627138943603,25.763461105119216,247.32384316582332,7.846905196676854,-23.3149031861042,0.10451090229453032,0.2620654393865784,1.6808934813958587,0.8782092110283101,-0.7684442301916921,1.3230317712323147
binary,12494717312755964249,5819298111908397232,11853930792378921357,177.02352892493855,397.47591667149203,277.4145131736152,0.7536993930283824,110.79002798472368,11.648051875706493,-91.6936007439459,-169.65914537915233,0.2578474384813475,0.2350977030538765,1.9637290733177082,-0.19593954155842702,-1.4980027174289632,2.4856109804101085
