type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,7218431616919865643,10143540997064702212,11059584187284694344,89.85997949515134,5174.92789952111,363.4750423210088,0.9599538262301396,107.83565629898219, -2.9032803270660312,0.6649006960987988,7.303844529727245,-0.27719337256738474,-0.9432839017329683,2.007159612487998
binary,4920230072024208360,341050791445502609,9997939577286733450,111.14977729388262,581.4503717544821,370.1108352872696,0.33267056160037783,85.65087655263547, 1.2234549608311667,-0.21454463680156097,-3.2849754259053143,1.939433624874529,-0.05690795980633097,0.7068432713123801
binary,7521560983011095080,7681862472312951762,8361068666661882111,115.99313672637011,592.6265433734898,921.9580427642776,0.8680829585763629,6.433537893521832, 3.806552772725533,-4.551245006430643,-4.338872380287221,-0.5572400937672115,0.6115556210076804,-0.9807394885987333
binary,13577975461465920408,9598634964346492648,10540129320636061730,108.30371597571985,1374.1733159354826,566.5233574579521,0.921387007946118,75.1807293153828, -3.778455281964016,0.4501465504362609,8.614741608729739,0.37226251714193576,-0.7288096726846023,1.9355328082864671
binary,10955015355238732687,11577230840324243510,16179931814684996154,218.7865408420897,64.90475946339568,110.03223083610021,0.9926732655640504,123.96933258575422, 1.4145371284694714,-1.8437704356218252,-4.367064090347728,0.39879962877542524,-0.21423034095741794,-1.4684519202279327
binary,7611182496463776988,26361050742384210,2496931206652981922,154.9622483281471,454.46634087691734,877.5756785957406,0.5993352217803553,16.23569813386012, 1.1914432910050392,-1.4168397894400553,-1.7826411879753332,1.012339927490519,0.8097063524439557,1.501631362130994
binary,3707592406863873462,13750603499868565356,12758421315248691218,197.33791333932467,656.5971808594138,641.5995347728488,0.4629711360174446,43.984373562114314, 0.9761926545570455,-1.4060747546823797,-2.0977858588176423,0.9380784499949008,1.4598658956152684,0.06505008631644013
binary,10899520184629925571,12739472180020123386,10714796579155778174,322.9956053825186,202.3597725458761,714.1194157468647,0.5561912205537711,61.430997098167815, -3.071916269953989,2.2470366615362196,6.162442582283913,0.5770010185954768,-1.7631647656288498,-0.12727105427323884
binary,15226734508820393860,7984239663629689574,17704215094151601417,227.5375332773756,2096.116368040936,763.9384757817069,0.27475151508729434,27.74783528379942, -3.587061519370951,0.43392946539616667,8.974230868838939,0.15724557694533878,-0.6803831026623068,1.5177495730468356
binary,5021406719849949004,6837220104456300298,2296282768262237054,230.6378273444812,3873.469331425996,230.6303154470521,0.8361763226734126,57.35211385358563, 1.6608036707421556,0.29051748959279683,-3.957430805546559,0.6618596433602828,0.8181323633385426,1.2131857390188259
binary,5473831438693336333,11782960296678762230,7254957322835247349,224.84821753142276,8497.062529771347,793.1882664040699,0.13785867342699173,117.96910388593186, 1.0397650776835938,-1.4953944951510925,-1.981705003159955,0.22441148598376784,0.5701064421100996,1.8213364761812307
binary,1349247296633449860,10208391334214239636,5801099489041440072,238.98489774637028,8158.229630368113,714.031580712594,0.5451457457403686,116.2387265505699, 0.7934989554268947,-0.6899025007637347,-2.5891863522314846,0.8972963889421119,0.36742613655719963,-2.9976369147839206
binary,15247012525220824696,157073294952667348,15186852711198423041,351.93865559323945,372.3997831492394,320.95015876555135,0.9996116468499131,90.12477771376723, -2.584117419037962,-0.16293540492354033,7.200695341426738,0.8147827388393538,-0.669084719912566,1.0040317974376662
binary,11023704756449727177,334816646389562806,7580316228411373441,393.3186800764305,391.3809783732281,195.93341979288786,0.9961145227166402,90.33886598289668, 3.712896736538019,-4.371034171376951,-4.559189798729775,-0.4438017140343318,1.6391456201511492,-1.1095717315273064
binary,17641172163462352405,6165762871739511596,4641813736341361448,353.75799791006,765.8278346461003,285.1346254946689,0.4498188163817787,122.00527470336495, 1.2727981223191387,-1.6189574077117372,-2.5429894814904945,1.3069910314919924,-0.15084707029593727,2.2948488915745986
binary,10561417949365986274,15874525622071761963,7798550534277256313,511.0738933370731,99.5480396309627,432.6917311527302,0.5203344349650827,156.81611092375672, 1.2264406571246582,-1.6220182600280346,-2.3780618845877153,1.3409621311098439,0.1762916865483291,2.019777816379309
binary,14775888255756200665,5481616431224453450,5933388298403131682,514.6083345688891,113.5131965230569,842.3958218601589,0.8599299968721652,101.59643675428264, -3.636470517240745,0.4557810779246511,8.957877481529584,-0.40641180655115583,-0.7741290718060455,1.5607958422769603
binary,11285081369279231845,15055522127528512979,8511292752816915029,489.3460727012674,290.9978827692331,228.12268925294327,0.05308084840213004,94.78172929295404, 0.47632909823207953,-0.6808076904905616,-2.8446302390746747,1.8555408108111588,0.2536084949159088,1.0206412075183946
binary,15695296663713350543,4654066484946339102,8301055203746208742,397.4520094456999,1189.8929136547383,965.7563778544944,0.35049685007128456,77.72303638526992, 2.420898239467789,-0.083389243256706,-3.4045892126057122,-0.7783530939623331,-0.4100118826963303,-1.2833849805801214
binary,5480166403410807721,6210305997398055788,1452845160042565368,356.0880419422977,3669.826571413587,953.8821105797783,0.22665185480478478,60.62248780960939, -3.7408935978733275,0.7903130093753591,8.35716030086685,0.9196659023723448,-0.8978517658365484,1.8035921987489716
binary,18031945068392490412,13401453354263114668,8771840019947573560,436.1397116609736,1333.7266685266532,951.3920846503513,0.8484895546030286,70.45531972765771, 1.177509680001239,-0.38252248954682044,-3.301574695644943,-2.6870632497311346,1.3857158279541097,0.9198568741045006
binary,3576874129750910466,14203421825008009778,4313137412575129732,409.66969040912755,2128.9250550531983,263.69028386311135,0.8378788460822653,67.83303472730167, 1.1847192254922794,-0.4781945186542785,-3.224925629356642,-2.9628314717558237,1.2880055427870851,2.183751171642307
binary,11579821244652839850,13084853797277190172,1445524733148162722,410.3707048218159,2636.034992333478,502.4461656545589,0.7201328766793653,72.96987239834023, 1.4035549591512766,-0.5934132027580029,-3.340868590271171,-1.1482481661014539,1.1415233918724286,0.15737298264634603
binary,5903478410690147671,14618093851194877779,12221716657678555398,740.6500105776732,25.14780039559808,824.8709348555697,0.5751571370416676,152.55677369831068, 0.05889094560626655,-1.382653914871903,-2.7812855535076655,-1.046043043839347,-0.08172405867028776,-0.21020793301740634
binary,15040757691730618347,1351499579140429891,7682224603968725155,444.4169313481248,2676.994800612646,673.1314558467568,0.7825798371197117,98.20106967663186, 0.4306120166072364,0.4344379904360305,-3.5801714333519445,0.18050218517550534,-0.5335640400633821,0.34417701405087764
binary,4414860640453899750,2445166203452134419,7458575563394397702,2.963358997236095,394.99612203333845,649.9784596159309,0.3827242019056174,37.57942223373107, 2.0873372812126845,-0.5122801820121202,-2.9571540647702865,-0.5092877361493846,0.6207219387010069,-1.0997109021765248
binary,5510237636488477164,1381245157359101836,4561936217847113010,3.381656966030086,461.3007737117489,182.75972340768666,0.320034039017481,57.01560191811538, 2.109645844385294,-0.23882115115438984,-2.6493168179306905,-0.34780828625810195,0.04919112015157932,-0.23125619194672567
binary,2881726312796874997,10874640037046100833,3140690865610521973,666.9400856740406,920.2136647821143,419.3935259425454,0.9396035346102883,75.73159943591281, 1.0256308050332865,-0.18690000565429865,-3.772280264955799,-0.8992758160129616,-1.4186800586823347,0.8853610694624098
binary,10247494535550926299,15547507698134007222,17489176607266874923,0.7679874809719764,480.3221623518763,507.37364359711984,0.6604170789816786,142.2667163411332, -3.2022835987194562,2.5802633820947403,5.9250751380903335,2.0212679608647046,-2.2429224007995106,1.4269569085700493
binary,12312280863411378282,2339874516899081686,15656115504500395423,15.479329449067038,492.8013906231424,127.40793325909719,0.13265013657723035,90.15622751845527, -2.882213646286201,0.8778394096718227,7.274501263725786,0.6338619913191292,-1.2866466226622622,0.9787185212323155
binary,5500501951915582574,16086184558794861497,16861648715062795550,12.65405942382126,496.31828277306,169.75136498350471,0.17135416810007312,74.44385128126589, 0.07429804435714724,-0.944414278977871,-3.0126956355213053,-0.42691342661633747,1.4422444336194906,-0.27116771649005855
