type,key,k1,k2,M,m,a,e,i,dx,dy,dz,x,y,z,vx,vy,vz
binary,16365880309005716254,5707147434426848979,16024923168946015191,426.79600407687485,1.83343793758706,494.99413742998064,0.8973688403926872,56.193045058198486,116.91503129898649,274.03365555146434,-170.69631654488694,-1.0965102304942436,0.45500181747067847,0.44163481611038563,1.6186209402891285,-0.07906266729304054,-0.11546240847017462
binary,18380904079565200949,7213460031622462815,8542595681993977451,1557.8757657650758,13426.272691274282,49.84223307028395,0.7003360346773557,152.78486765183806,56.035803584257316,56.99346394256493,17.5972644504383,2.035231909726738,-1.5713927960390686,-1.0964813745929134,1.0901003536883225,-2.060125005192072,-0.6554993710390146
binary,17217717867528616795,11488706692714991354,9678033934575764379,348.062958155054,2346.982890825453,675.5652033952009,0.49336928118088835,125.89657149887798,-699.5415154810079,-517.7354688773362,93.15527806008002,-0.1547918829484366,1.5725560599340365,1.0080892253319425,-3.526970630277581,2.0235113221942487,2.4662975728399736
binary,7183883291821589325,8367763256735919391,8916045003066410751,1987.798466828626,777.4803585996943,445.37250946036215,0.6897886585350698,147.76903969713348,-23.654495093390995,230.99902549657742,-33.14322927369239,0.40430963343081255,-1.316487116298138,-1.3332140387589175,2.0444891724857603,-0.9957575608479182,-1.4207825367866032
binary,1134936185478209437,6904515793311901209,8980653869802892823,1337.1636633511448,816.3568948030756,334.87535756382033,0.5442181662119459,82.66473105206511,211.7655092340087,101.71499973363882,460.5429447740989,-0.1503097775949527,1.3735710725265742,1.061385343140026,-1.8768368997647675,1.7861087891381735,-2.5756957437457553
binary,17617553049384797061,7950792558081625572,2811174982153436511,197.7720051157643,354.8376028508604,260.5660431881566,0.5443634071409736,164.7435400665751,-291.7852073280216,95.42917087690114,12.521330278591272,0.9730600645300317,-1.00463725251868,-1.6328332033871669,0.2187946411577691,-0.9365354479945126,-0.8093659791629081
binary,16146372783623092727,17087694252895788362,8264859253604035256,240.26167276665453,2580.761050130033,444.95803158533,0.6539490994151901,125.27097512148926,551.9487017900685,453.7887226246202,4.313948424446562,1.996910523335027,-1.142625971392199,-1.0958819580027706,0.220117232914528,-0.4056997560970617,-1.1976375716221843
binary,13086722506902702627,976534290738658746,1135202632845144689,1533.7658845237668,885.5214472711185,460.39933647801575,0.2776969186858767,46.390159909544295,-68.91228770345198,-279.2934438786343,-167.26428060525447,0.4421591075522432,-1.4078819338950535,-1.1455779516649258,-0.41790634801650994,-0.9221119073274359,-0.5169705307533297
binary,5078736024900748770,11796403022764824667,10474985019635558249,1065.455628954335,266.0373169068793,207.57446803389723,0.5039727232323389,152.46841290088,176.8336503080956,-30.167697013989045,-10.392226009868802,1.6592706440259735,-1.1831629649705169,-0.7090491216866415,-0.11183907242517524,-0.2913646886128656,-1.3307512052814408
binary,10332260405511623730,12175206772044862206,6191007001704029151,6163.5534303596405,371.39086992380356,417.9488856153776,0.5389728919178047,33.789312078940156,-15.491023504436946,164.73449283322327,-105.18495265068411,1.6354712766928372,-1.0976181836161378,-0.7227489222339457,0.28102488145305193,-0.6902106395265432,-1.123275668950687
