F,amin,amax,Nss,Nsp,Nj,M,dM,m,dm,q,dq,a,da,e,de
PlN2500n600cs+1000+1200+R0.5pcQ05_R1.csv,1000,1200,1892,1196,17,3.0092088294792063,2.215812688765437,4.870217553360744,3.368052686635719,2.78362767064036,3.8691367722722947,163.2916324871719,52.956008449852234,0.8707723554517013,0.15816563540109232
PlN2500n600cs+1000+1200+R1pcQ05_R1.csv,1000,1200,1875,1199,14,3.629194145526697,3.0857590616867254,3.969213491870032,3.0336612658551316,2.1249789092501,2.1907539226808086,162.09430386318095,90.61187710061138,0.8906335426907545,0.08597793731531593
PlN2500n600cs+1100+1200+R0.25pcQ05_R1.csv,1100,1200,2432,1200,15,3.982311998346241,3.256511160622357,5.243942494070733,4.029067995015672,2.4358698009011235,2.175993394653009,148.11906339245687,150.85573901019134,0.8331972840467633,0.21671626329999302
PlN2500n600cs+1100+1200+R0.5pcQ05_R1.csv,1100,1200,2398,1196,27,3.9766791899652,3.8468849592235,5.994910445834055,4.732331086237337,2.7447611651591477,3.747197056328797,247.86287487890496,286.35042368812685,0.8526302904717684,0.14676113274251634
PlN2500n600cs+1200+1400+R0.5pcQ05_R1.csv,1200,1400,2418,1200,27,3.6452761156677247,3.775352225618269,4.286718841233439,2.8255325522564023,2.7423941723997944,3.4469600124168807,168.160359296356,87.52706253646767,0.9359335061794544,0.056758798414477264
PlN2500n600cs+1200+1400+R1pcQ05_R1.csv,1200,1400,2437,1199,21,3.9090451532946267,3.528625790735401,7.080914910856269,4.442664200961425,3.5333779394837643,3.4985329879507847,251.6379310460892,147.06928239905685,0.894430505360492,0.08855600501957472
PlN2500n600cs+1300+1400+R0.25pcQ05_R1.csv,1300,1400,2417,1197,28,3.5504684026570636,2.643641591659647,6.5336150024248125,4.8019342051728975,2.640236505159745,2.7320978966887006,152.6353100939647,141.839129554961,0.8390531049501639,0.19358740139262348
PlN2500n600cs+1300+1400+R0.5pcQ05_R1.csv,1300,1400,2393,1197,35,3.3687024859954597,2.6361602448791372,5.924796658036004,3.8312876196863437,2.567421928864765,2.0774134048884796,232.2669546552357,231.8262840871212,0.8030785753019603,0.1941751425275891
PlN2500n600cs+1400+1600+R0.25pcQ05_R1.csv,1400,1600,2425,1199,27,2.5428208470087474,2.126876756411816,4.9763197776494605,3.5328052682222175,2.862432210254438,2.64292544140209,266.3596445350719,195.78355652114368,0.8984311769290295,0.09713539426822021
PlN2500n600cs+1400+1600+R0.5pcQ05_R1.csv,1400,1600,2453,1197,16,3.4162560138919593,3.1213562284071745,5.4271773395900755,3.439866351449874,4.070832478664757,4.685693588625807,356.4145096869384,288.8484807425628,0.8750421017633653,0.11465554350750642
PlN2500n600cs+1400+1600+R1pcQ05_R1.csv,1400,1600,2426,1200,23,3.1879205913006987,2.831432529680837,5.322252277361789,3.7008550808502463,3.471671503618257,3.618364822503774,161.27052344943613,64.61447420849069,0.9354195386790363,0.06504766565399016
PlN2500n600cs+1600+1800+R0.25pcQ05_R1.csv,1600,1800,2421,1199,24,3.0219447053516073,3.041681241339073,4.462414093646017,3.694757982693636,2.897466178486646,3.17979437030477,303.4402094655492,228.13693748632147,0.8784186330248062,0.1322660482028035
PlN2500n600cs+1600+1800+R0.5pcQ05_R1.csv,1600,1800,2425,1197,28,2.609052845402124,2.3730223578250325,6.2910436941839905,4.236004123958959,3.6951501414921006,3.466551013803867,279.7912601323756,254.1559910524812,0.8969709852297232,0.119599908951632
PlN2500n600cs+1600+1800+R1pcQ05_R1.csv,1600,1800,2435,1199,22,3.388182793620675,2.871952255747629,5.287256371945046,2.668284846203266,2.569854802669836,2.065145909248975,244.61390258631863,176.51751059181873,0.876738659252258,0.11366381750834322
PlN2500n600cs+1800+2000+R0.25pcQ05_R.csv,1800,2000,2417,1195,30,4.023883095139197,3.530775424089063,5.59968232793707,3.3043849689458105,2.188008759096526,1.8172370306219796,225.65874605479453,140.6256503538823,0.8952889633580463,0.11872522984424043
PlN2500n600cs+1800+2000+R0.5pcQ05_R1.csv,1800,2000,2424,1200,28,3.237508582676566,2.6507584599201057,5.1901661489785536,4.052798099602578,2.8005502109425597,3.5110600716931324,257.5027442804175,191.64847667804113,0.9021661676565668,0.11893579442488482
PlN2500n600cs+1800+2000+R1pcQ05_R1.csv,1800,2000,2426,1200,26,4.020379914714644,3.3438367791271055,5.036079551321125,3.563771344236872,2.2166702743326705,1.9097817345590884,281.1096824278616,216.99608062780305,0.8906054782105961,0.12009945996069431
PlN2500n600cs+2000+2200+R0.25pcQ05_R1.csv,2000,2200,2433,1199,22,3.6014695551550604,3.1498512897979043,4.417706537283349,3.99721175533647,1.9376757634853072,1.825969771365392,250.05002478658105,168.57307406673274,0.8695650385280793,0.146491802962799
PlN2500n600cs+2000+2200+R0.5pcQ05_R1.csv,2000,2200,2438,1196,20,2.6840104621337852,2.181172060972697,6.136998924772376,4.017660646047174,4.597448999509022,4.918671522409845,295.12165125931017,255.29709849951217,0.869427746403128,0.13866431947780014
PlN2500n600cs+2000+2200+R1pcQ05_R1.csv,2000,2200,2435,1199,23,2.49706868095772,2.15459602212579,6.1950096319440755,4.6921330820254665,4.265380399219341,4.79609057238677,351.33780847110506,231.66737868836208,0.8157505635176561,0.14678656688394023
PlN2500n600cs+2200+2400+R0.25pcQ05_R1.csv,2200,2400,2435,1197,16,3.010317149750859,3.001851152953292,6.070268576522066,3.8637513252672955,3.1066827064114357,2.264174061453239,325.7022145846607,254.9571757363133,0.8170815439070769,0.16969148552742605
PlN2500n600cs+2200+2400+R0.5pcQ05_R1.csv,2200,2400,2402,1192,28,4.8028311947353695,3.9479823872305166,5.619827094234496,3.789957029963685,2.1556386835280024,2.2910762419203503,259.35610366755037,178.7316844922803,0.8492578966269434,0.18388631153973067
PlN2500n600cs+2200+2400+R1pcQ05_R1.csv,2200,2400,2399,1199,34,3.299885274230425,3.0943374774527657,5.404306089632418,4.361750910238327,3.0870649210436225,3.508887009389682,269.10831423100456,151.28415922907075,0.846095742413692,0.1553420285681265
PlN2500n600cs+2400+2500+R0.25pcQ05_R1.csv,2400,2500,2422,1200,24,2.7835696521441733,2.038817198506726,4.153379451264119,4.2473383106291935,1.7094081074480887,1.2904069798016242,241.15454036000122,254.7529947299265,0.812732961134267,0.20936686337109053
PlN2500n600cs+2400+2500+R0.5pcQ05_R1.csv,2400,2500,2427,1195,25,3.5436260922861553,3.648880645116588,5.753909485683365,4.06411279617433,3.025919691039829,3.178117840674107,321.8954418155103,201.61573432117413,0.6383101871627413,0.2703108974443902
PlN2500n600cs+2400+2600+R0.25pcQ05_R1.csv,2400,2600,2401,1197,33,4.101994663309225,3.3269317478689953,5.579612970180975,3.905423955224341,1.9175060354524518,1.7816086051010773,272.6059183217592,208.90860114050784,0.849954245785609,0.20033102829527824
PlN2500n600cs+2400+2600+R0.5pcQ05_R1.csv,2400,2600,2425,1197,25,3.441992621277503,2.700804782549617,6.967179938678426,4.869564333512378,3.6546703815524806,4.219757488561836,325.8856606669106,263.4947829932103,0.8433024577670679,0.18256707313970863
